Company Name,Management Name,Work
SALES & MARKETING EXECUTIVE,Alpha Industries,Individual Sales Professional/ Self-employed Retailer
"A/C MECHANIC, HELPER",STS Refrigeration,AC Specialist
MARKETING MANAGER,Reliance Nippon Life Insurance Company Limited,Associate - Recruitment | Business Development Executive - Life Sciences | Community Service Provider | Marketing Manager-LOB
Maraketing  excutive,Happywalk Online Retail Private Limited,Area Sales Officer | Market Research Associate | Medical Sales Representative | Sales Associate | Sales Representative
MACHINE OPERATOR (STENTER),CR Garments,Stenter Machine Operator
Data Entry Operator,SDCE FACILITY MANAGEMENT PVT LTD,Domestic Data Entry Operator
LASER OPERATOR,SDCE FACILITY MANAGEMENT PVT LTD,Machine Operator
Machine Oparator,SDCE FACILITY MANAGEMENT PVT LTD,Machine Operator
MIG Welder,SDCE FACILITY MANAGEMENT PVT LTD,Construction Welder
FITTER,SDCE FACILITY MANAGEMENT PVT LTD,Fitter
